K,n,eta,tau,x,y,balanced,F,G,Ghat_xy
6,48,2.0,1,18,0,0,0.867036395404,1.05764103376,1.21296407917
6,48,2.0,1,18,1,0,0.95810485612,1.18643128601,1.21373696596
6,48,2.0,1,18,2,1,0.99754068928,1.21431663106,1.21431663106
6,48,2.0,1,18,3,1,0.99815551696,1.21475137988,1.21475137988
6,48,2.0,1,18,4,0,0.99877034464,1.2151861287,1.21507744149
6,48,2.0,1,18,5,0,0.99938517232,1.21562087752,1.21534915951
6,48,2.0,1,18,6,0,1,1.21611354813,1.21562087752
6,48,2.0,1,19,0,0,0.867651223084,1.05807578258,1.21373696596
6,48,2.0,1,19,1,0,0.9587196838,1.18686603483,1.21431663106
6,48,2.0,1,19,2,1,0.99815551696,1.21475137988,1.21475137988
6,48,2.0,1,19,3,1,0.99861663772,1.21507744149,1.21507744149
6,48,2.0,1,19,4,0,0.99907775848,1.21540350311,1.21534915951
6,48,2.0,1,19,5,0,0.99953887924,1.21572956473,1.21562087752
6,48,2.0,1,19,6,0,1,1.21611354813,1.21589259554
6,48,2.0,1,20,0,0,0.868112343844,1.0584018442,1.21431663106
6,48,2.0,1,20,1,0,0.95918080456,1.18719209644,1.21475137988
6,48,2.0,1,20,2,1,0.99861663772,1.21507744149,1.21507744149
6,48,2.0,1,20,3,1,0.99900090502,1.21534915951,1.21534915951
6,48,2.0,1,20,4,1,0.99938517232,1.21562087752,1.21562087752
6,48,2.0,1,20,5,0,0.99969258616,1.21583825193,1.21589259554
6,48,2.0,1,20,6,0,1,1.21611354813,1.21596505367
6,48,2.0,1,21,0,0,0.868458184414,1.05864639041,1.21475137988
6,48,2.0,1,21,1,0,0.95952664513,1.18743664266,1.21507744149
6,48,2.0,1,21,2,1,0.99896247829,1.21534915951,1.21534915951
6,48,2.0,1,21,3,1,0.99934674559,1.21562087752,1.21562087752
6,48,2.0,1,21,4,1,0.99969258616,1.21589259554,1.21589259554
6,48,2.0,1,21,5,0,0.99984629308,1.21600128274,1.21596505367
6,48,2.0,1,21,6,0,1,1.21611354813,1.2160133591
6,48,2.0,1,22,0,0,0.868804024984,1.05889093662,1.21507744149
6,48,2.0,1,22,1,0,0.9598724857,1.18768118887,1.21534915951
6,48,2.0,1,22,2,1,0.99930831886,1.21562087752,1.21562087752
6,48,2.0,1,22,3,1,0.99969258616,1.21589259554,1.21589259554
6,48,2.0,1,22,4,1,0.99979505744,1.21596505367,1.21596505367
6,48,2.0,1,22,5,0,0.99989752872,1.21603751181,1.2160133591
6,48,2.0,1,22,6,0,1,1.21611354813,1.21604556271
6,48,2.0,1,23,0,0,0.868906496264,1.05896339476,1.21534915951
6,48,2.0,1,23,1,0,0.95997495698,1.18775364701,1.21562087752
6,48,2.0,1,23,2,0,0.99941079014,1.21569333566,1.21589259554
6,48,2.0,1,23,3,1,0.99979505744,1.21596505367,1.21596505367
6,48,2.0,1,23,4,1,0.999863371627,1.2160133591,1.2160133591
6,48,2.0,1,23,5,0,0.999931685813,1.21606166452,1.21604556271
6,48,2.0,1,23,6,0,1,1.21611354813,1.21606703179
6,48,2.0,1,24,0,0,0.868974810451,1.05901170018,1.21562087752
6,48,2.0,1,24,1,0,0.960043271166,1.18780195243,1.21589259554
6,48,2.0,1,24,2,0,0.999479104327,1.21574164108,1.21596505367
6,48,2.0,1,24,3,1,0.999863371627,1.2160133591,1.2160133591
6,48,2.0,1,24,4,1,0.999908914418,1.21604556271,1.21604556271
6,48,2.0,1,24,5,0,0.999954457209,1.21607776633,1.21606703179
6,48,2.0,1,24,6,0,1,1.21611354813,1.21608134451
6,48,2.0,1,25,0,0,0.869020353242,1.0590439038,1.21589259554
6,48,2.0,1,25,1,0,0.960088813957,1.18783415605,1.21596505367
6,48,2.0,1,25,2,0,0.999524647118,1.2157738447,1.2160133591
6,48,2.0,1,25,3,1,0.999908914418,1.21604556271,1.21604556271
6,48,2.0,1,25,4,1,0.999939276279,1.21606703179,1.21606703179
6,48,2.0,1,25,5,0,0.999969638139,1.21608850087,1.21608134451
6,48,2.0,1,25,6,0,1,1.21611354813,1.21609207905
6,48,2.0,1,26,0,0,0.869050715103,1.05906537288,1.21596505367
6,48,2.0,1,26,1,0,0.960119175818,1.18785562512,1.2160133591
6,48,2.0,1,26,2,0,0.999555008979,1.21579531378,1.21604556271
6,48,2.0,1,26,3,1,0.999939276279,1.21606703179,1.21606703179
6,48,2.0,1,26,4,1,0.999959517519,1.21608134451,1.21608134451
6,48,2.0,1,26,5,0,0.99997975876,1.21609565723,1.21609207905
6,48,2.0,1,26,6,0,1,1.21611354813,1.21610281359
6,48,2.0,1,27,0,0,0.869070956343,1.0590796856,1.2160133591
6,48,2.0,1,27,1,0,0.960139417059,1.18786993784,1.21604556271
6,48,2.0,1,27,2,0,0.999575250219,1.2158096265,1.21606703179
6,48,2.0,1,27,3,1,0.999959517519,1.21608134451,1.21608134451
6,48,2.0,1,27,4,1,0.999974698449,1.21609207905,1.21609207905
6,48,2.0,1,27,5,1,0.99998987938,1.21610281359,1.21610281359
6,48,2.0,1,27,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,28,0,0,0.869083607118,1.05908863104,1.21604556271
6,48,2.0,1,28,1,0,0.960152067834,1.18787888329,1.21606703179
6,48,2.0,1,28,2,0,0.999587900994,1.21581857194,1.21608134451
6,48,2.0,1,28,3,1,0.999972168294,1.21609207905,1.21609207905
6,48,2.0,1,28,4,1,0.999987349225,1.21610281359,1.21610281359
6,48,2.0,1,28,5,1,1,1.21611354813,1.21611354813
6,48,2.0,1,28,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,29,0,0,0.869096257894,1.05909757649,1.21606703179
6,48,2.0,1,29,1,0,0.960164718609,1.18788782874,1.21608134451
6,48,2.0,1,29,2,0,0.99960055177,1.21582751739,1.21609207905
6,48,2.0,1,29,3,1,0.99998481907,1.21610281359,1.21610281359
6,48,2.0,1,29,4,1,1,1.21611354813,1.21611354813
6,48,2.0,1,29,5,1,1,1.21611354813,1.21611354813
6,48,2.0,1,29,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,30,0,0,0.869096257894,1.05909757649,1.21608134451
6,48,2.0,1,30,1,0,0.960164718609,1.18788782874,1.21609207905
6,48,2.0,1,30,2,0,0.99960055177,1.21582751739,1.21610281359
6,48,2.0,1,30,3,0,0.99998481907,1.21610281359,1.21611354813
6,48,2.0,1,30,4,1,1,1.21611354813,1.21611354813
6,48,2.0,1,30,5,1,1,1.21611354813,1.21611354813
6,48,2.0,1,30,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,31,0,0,0.869096257894,1.05909757649,1.21609207905
6,48,2.0,1,31,1,0,0.960164718609,1.18788782874,1.21610281359
6,48,2.0,1,31,2,0,0.99960055177,1.21582751739,1.21611354813
6,48,2.0,1,31,3,0,0.99998481907,1.21610281359,1.21611354813
6,48,2.0,1,31,4,1,1,1.21611354813,1.21611354813
6,48,2.0,1,31,5,1,1,1.21611354813,1.21611354813
6,48,2.0,1,31,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,32,0,0,0.869096257894,1.05909757649,1.21610281359
6,48,2.0,1,32,1,0,0.960164718609,1.18788782874,1.21611354813
6,48,2.0,1,32,2,0,0.99960055177,1.21582751739,1.21611354813
6,48,2.0,1,32,3,0,0.99998481907,1.21610281359,1.21611354813
6,48,2.0,1,32,4,1,1,1.21611354813,1.21611354813
6,48,2.0,1,32,5,1,1,1.21611354813,1.21611354813
6,48,2.0,1,32,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,33,0,0,0.869096257894,1.05909757649,1.21611354813
6,48,2.0,1,33,1,0,0.960164718609,1.18788782874,1.21611354813
6,48,2.0,1,33,2,0,0.99960055177,1.21582751739,1.21611354813
6,48,2.0,1,33,3,0,0.99998481907,1.21610281359,1.21611354813
6,48,2.0,1,33,4,1,1,1.21611354813,1.21611354813
6,48,2.0,1,33,5,1,1,1.21611354813,1.21611354813
6,48,2.0,1,33,6,0,1,1.21611354813,1.21611354813
6,48,2.0,1,34,0,0,0.869096257894,1.05909757649,1.21611354813
6,48,2.0,1,34,1,0,0.960164718609,1.18788782874,1.21611354813
6,48,2.0,1,34,2,0,0.99960055177,1.21582751739,1.21611354813
6,48,2.0,1,34,3,0,0.99998481907,1.21610281359,1.21611354813
6,48,2.0,1,34,4,1,1,1.21611354813,1.21611354813
