task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E3,business_diversity,5,17,0.462366,154.146,18.3652,10.00,0.006471,0.053278,1,0.200000
E3,business_diversity,6,17,0.536671,154.146,18.3652,14.04,0.006470,0.053230,1,0.166667
E3,business_diversity,7,17,0.669524,154.146,18.3652,17.46,0.006469,0.053197,1,0.142857
E3,business_facility,3,17,0.291971,5.61507,12.3869,3.03,0.167729,0.078577,1,0.333333
E3,business_facility,4,17,0.282187,17.7938,23.944,4.76,0.055026,0.041115,1,0.250000
E3,business_facility,5,17,0.459893,17.7938,23.944,10.00,0.054950,0.041072,1,0.200000
E3,business_facility,6,17,0.432274,17.7938,23.944,14.04,0.054900,0.041044,2,0.333333
E3,business_facility,7,17,0.536808,17.7938,23.944,15.87,0.054864,0.041024,2,0.285714
E3,business_coverage,3,18,0.668790,1.22346,4.84354,37.50,0.614890,0.192578,1,0.333333
E3,business_coverage,4,18,0.612000,1.22346,6.00277,43.33,0.599214,0.156469,2,0.500000
E3,business_coverage,5,18,0.588912,1.22346,6.00277,45.71,0.590358,0.155853,3,0.600000
E3,business_coverage,6,18,0.619384,1.22346,6.00277,46.15,0.584663,0.155446,4,0.666667
E3,business_coverage,7,18,0.808594,1.22346,6.00277,45.24,0.580691,0.155157,4,0.571429
E3,business_diversity,3,18,0.668790,1.42574,5.61629,37.50,0.550186,0.167695,1,0.333333
E3,business_diversity,4,18,0.802558,1.42574,5.80864,43.33,0.537529,0.161359,1,0.250000
E3,business_diversity,5,18,0.835370,1.42574,6.20819,48.57,0.530332,0.151028,2,0.400000
E3,business_diversity,6,18,0.843128,1.42574,6.20819,51.28,0.525687,0.150646,3,0.500000
E3,business_diversity,7,18,0.848840,1.42574,6.20819,52.38,0.522441,0.150375,4,0.571429
E3,business_facility,3,18,0.700000,1.42574,7.83219,37.50,0.550186,0.122321,1,0.333333
E3,business_facility,4,18,0.753913,3.07183,8.62832,43.33,0.287910,0.110957,1,0.250000
E3,business_facility,5,18,0.718494,3.07183,8.62832,48.57,0.285820,0.110648,2,0.400000
E3,business_facility,6,18,0.748461,3.07183,8.62832,51.28,0.284450,0.110443,3,0.500000
E3,business_facility,7,18,0.737664,3.07183,8.62832,52.38,0.283482,0.110297,4,0.571429
E3,business_coverage,3,19,0.362393,10.7819,20.282,8.33,0.089910,0.048499,0,0.000000
E3,business_coverage,4,19,0.464789,10.7819,20.282,13.04,0.089572,0.048401,0,0.000000
E3,business_coverage,5,19,0.398305,10.7819,21.9632,18.18,0.089371,0.044709,1,0.200000
E3,business_coverage,6,19,0.501090,10.7819,21.9632,20.63,0.089237,0.044676,1,0.166667
E3,business_coverage,7,19,0.482921,10.7819,21.9632,24.29,0.089142,0.044652,2,0.285714
E3,business_diversity,3,19,0.544913,1.67507,23.3015,11.11,0.486071,0.042305,1,0.333333
E3,business_diversity,4,19,0.472195,1.67507,23.3015,15.22,0.476143,0.042230,2,0.500000
E3,business_diversity,5,19,0.424779,1.67507,23.3015,21.82,0.470461,0.042185,3,0.600000
E3,business_diversity,6,19,0.529841,1.67507,23.3015,25.40,0.466779,0.042155,3,0.500000
E3,business_diversity,7,19,0.583133,2.85985,23.3015,28.57,0.301419,0.042134,3,0.428571
