task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path
E1,digits20,5,7,1.052326,1.77778,77.6606,23.75,0.449393,0.012810
E1,digits20,6,7,1.034483,1.77778,77.6606,24.21,0.446028,0.012808
E1,digits20,7,7,1.065934,1.77778,77.6606,24.77,0.443668,0.012806
E1,digits20,1,8,1.000000,1,2.83803,5.88,1.000000,0.352357
E1,digits20,2,8,0.921260,1.34483,6.10973,11.76,0.605358,0.156976
E1,digits20,3,8,0.959184,1.34483,6.10973,20.41,0.574509,0.154906
E1,digits20,4,8,0.861111,1.35714,6.10973,23.44,0.557093,0.153899
E1,digits20,5,8,0.951872,1.35714,10.9674,27.50,0.549384,0.087914
E1,digits20,6,8,0.905473,5.25,22.2469,28.42,0.175984,0.044117
E1,digits20,7,8,0.894737,5.25,25.5834,29.63,0.175613,0.038439
E1,digits20,1,9,1.000000,1,2.3707,0.00,1.000000,0.421817
E1,digits20,2,9,0.874126,1.5,12.0133,6.06,0.555556,0.081509
E1,digits20,3,9,0.920245,1.52,20.9745,10.42,0.524166,0.046923
E1,digits20,4,9,1.000000,1.52,20.9745,14.29,0.512650,0.046831
E1,digits20,5,9,0.931937,1.52,31.9922,16.67,0.506086,0.030869
E1,digits20,6,9,0.882653,1.52,31.9922,19.57,0.501842,0.030853
E1,digits20,7,9,0.846535,1.52,31.9922,24.53,0.498873,0.030842
E1,digits20,1,10,0.771739,1.53846,4.52239,0.00,0.650000,0.221122
E1,digits20,2,10,0.846154,1.57143,5.75243,0.00,0.535124,0.166284
E1,digits20,3,10,0.984962,1.57143,27.2079,4.17,0.510922,0.036306
E1,digits20,4,10,0.942675,1.57143,31.2615,6.35,0.499970,0.031607
E1,digits20,5,10,0.919540,2,31.2615,6.41,0.409510,0.031582
E1,digits20,6,10,0.955801,2,52.4805,9.68,0.406708,0.018904
E1,digits20,7,10,0.967391,2.6,52.4805,14.02,0.326714,0.018900
E1,digits20,1,11,1.000000,1,2.44784,0.00,1.000000,0.408524
E1,digits20,2,11,1.000000,1,13.8731,5.88,0.750000,0.070783
E1,digits20,3,11,0.901316,1.38462,17.9587,6.25,0.562306,0.054656
E1,digits20,4,11,0.872093,1.38462,34.5059,11.11,0.549102,0.028667
E1,digits20,5,11,0.942529,1.78571,34.5059,14.10,0.447840,0.028647
E1,digits20,6,11,0.943005,1.78571,34.5059,15.05,0.444498,0.028633
E1,digits20,7,11,0.904523,1.78571,34.5512,16.82,0.442153,0.028586
E1,digits20,1,12,0.897727,1.18,2.02048,0.00,0.847458,0.494931
E1,digits20,2,12,1.062500,1.18,11.3537,0.00,0.667912,0.086138
E1,digits20,3,12,1.013889,1.7,14.6912,8.00,0.480434,0.066535
E1,digits20,4,12,1.024390,1.7,72.029,13.43,0.470731,0.013811
E1,digits20,5,12,1.027933,1.7,72.029,14.46,0.465175,0.013806
E1,digits20,6,12,0.928934,1.7,72.029,19.39,0.461574,0.013803
E1,digits20,7,12,0.942029,1.7,72.029,22.32,0.459050,0.013801
E1,digits20,1,13,1.000000,1,2.99996,0.00,1.000000,0.333338
E1,digits20,2,13,0.888112,1.5,8.24868,2.94,0.555556,0.117557
E1,digits20,3,13,0.867470,2.29412,40.2039,14.29,0.375629,0.024668
E1,digits20,4,13,0.947059,2.29412,46.3252,17.19,0.369680,0.021412
E1,digits20,5,13,1.029240,2.29412,67.3276,18.75,0.366237,0.014765
E1,digits20,6,13,1.017647,2.29412,67.3276,22.11,0.363991,0.014761
E1,digits20,7,13,1.094675,2.29412,67.3276,23.85,0.362410,0.014759
E1,digits20,1,14,1.000000,1,5.4507,0.00,1.000000,0.183463
E1,digits20,2,14,0.932203,1.24242,27.7664,2.94,0.642921,0.035690
E1,digits20,3,14,0.917910,1.76923,27.7664,14.58,0.465415,0.035584
E1,digits20,4,14,0.819767,1.76923,53.8038,11.29,0.456303,0.018457
E1,digits20,5,14,0.972973,1.76923,53.8038,11.84,0.451077,0.018448
E1,digits20,6,14,1.005263,1.76923,53.8038,13.33,0.447687,0.018443
E1,digits20,7,14,0.985075,1.85714,53.8038,17.31,0.428962,0.018439
E1,digits20,1,15,1.000000,1,2.46986,0.00,1.000000,0.404882
E1,digits20,2,15,0.943548,1.21875,26.1889,11.76,0.652202,0.037820
E1,digits20,3,15,1.081481,1.21875,95.5604,20.83,0.616558,0.010428
E1,digits20,4,15,0.875000,14,95.5604,26.98,0.069538,0.010424
E1,digits20,5,15,0.962567,14,95.5604,23.68,0.069417,0.010421
E1,digits20,6,15,0.948718,14,95.5604,30.77,0.069336,0.010419
E1,digits20,7,15,0.995169,14,95.5604,30.77,0.069279,0.010418
E1,digits20,1,16,0.806452,1.4,14.0319,0.00,0.714286,0.071266
E1,digits20,2,16,0.852941,1.4,18.3213,5.88,0.586735,0.053837
E1,digits20,3,16,0.913333,1.61905,38.7098,14.00,0.499211,0.025611
E1,digits20,4,16,1.005988,1.61905,38.7098,16.67,0.488747,0.025584
E1,digits20,5,16,1.000000,1.61905,38.7098,15.85,0.482766,0.025568
E1,digits20,6,16,0.967742,4,40.837,19.79,0.225361,0.024239
E1,digits20,7,16,1.000000,4,40.837,22.73,0.224753,0.024232
E1,digits20,1,17,0.781250,1.48837,2.25385,0.00,0.671875,0.443685
E1,digits20,2,17,0.839416,1.48837,8.20526,3.03,0.559021,0.118160
